Skills,Experience_Level,Description,Budget_Project
"Data Science: python, rapidminer, data scraping; General: git",Intermediate,"Intermediate Data Science professional with experience in python, rapidminer, data scraping.",$1093-$2420
"Education & Training: training online lms, exam preparation, coaching, elearning; General: git, api",Intermediate,"Intermediate Education & Training professional with experience in training online lms, exam preparation, coaching, elearning.",$1089-$2283
"Web Development: laravel, software architecture & design, php, web development; General: ",Entry Level,"Entry Level Web Development professional with experience in laravel, software architecture & design, php, web development.",$232-$742
"UI/UX Design: ui/ux prototyping, ux copy; General: ",Intermediate,"Intermediate UI/UX Design professional with experience in ui/ux prototyping, ux copy.",$1457-$2032
"Data Science: data analysis, analytics; General: ",Expert,"Expert Data Science professional with experience in data analysis, analytics.",$4032-$7465
"Graphic & Visual Design: 3d illustration, typography, digital illustration, adobe lightroom; General: project management, agile",Expert,"Expert Graphic & Visual Design professional with experience in 3d illustration, typography, digital illustration, adobe lightroom.",$2796-$8227
"Project Management: change management, scrum master, agile project management, project delivery; General: ",Expert,"Expert Project Management professional with experience in change management, scrum master, agile project management, project delivery.",$2402-$9772
"Business & Consulting: sales management, business writing; General: api",Entry Level,"Entry Level Business & Consulting professional with experience in sales management, business writing.",$461-$974
"Graphic & Visual Design: illustration, adobe lightroom, image enhancement, 3d illustration; General: agile, project management",Intermediate,"Intermediate Graphic & Visual Design professional with experience in illustration, adobe lightroom, image enhancement, 3d illustration.",$1309-$1998
"Project Management: lean startup, project timelines, project objectives, scrum master; General: project management, sql",Intermediate,"Intermediate Project Management professional with experience in lean startup, project timelines, project objectives, scrum master.",$811-$2937
"DevOps: kubernetes, aws cloudfront, ansible, jenkins; General: ",Expert,"Expert DevOps professional with experience in kubernetes, aws cloudfront, ansible, jenkins.",$3586-$6306
"Marketing & SEO: community management, google tag manager, google adsense, influencer marketing; General: agile, git",Entry Level,"Entry Level Marketing & SEO professional with experience in community management, google tag manager, google adsense, influencer marketing.",$99-$760
"Translation & Languages: danish to english translation, french; General: project management",Entry Level,"Entry Level Translation & Languages professional with experience in danish to english translation, french.",$233-$537
